518	405	272	492
505	429	292	441
505	429	288	440
505	430	288	439
506	430	287	439
505	430	288	438
505	430	288	439
505	430	288	439
506	430	287	439
505	431	288	437
505	430	288	438
505	431	289	438
504	431	289	438
505	431	288	439
504	430	289	439
504	428	292	441
505	424	289	445
506	420	287	449
507	421	286	447
506	418	288	449
507	422	284	445
508	419	283	447
509	420	281	447
509	420	282	447
510	419	279	447
509	420	281	447
509	419	280	447
510	422	280	446
509	427	279	441
508	435	280	433
509	446	275	421
509	445	274	423
510	458	273	410
510	470	270	397
512	485	264	382
512	497	268	367
513	502	267	362
513	502	267	360
513	506	266	358
514	510	265	353
514	512	264	351
513	515	265	349
513	516	266	349
514	516	265	349
515	517	265	348
512	517	268	347
514	516	265	349
514	516	266	348
514	515	268	349
512	515	269	350
512	513	268	351
513	511	268	353
510	509	272	356
512	506	269	360
512	503	271	362
513	503	268	363
513	500	270	365
512	496	268	368
510	491	272	375
513	488	270	377
512	484	269	382
513	486	269	380
512	482	270	384
512	478	266	388
511	475	270	391
511	472	270	394
512	467	268	399
510	467	270	400
511	463	270	403
510	458	271	408
511	456	273	411
511	452	272	416
511	446	273	420
510	447	276	421
509	442	277	424
510	441	279	428
510	436	279	431
510	434	279	434
510	434	281	434
511	433	279	435
510	433	281	435
509	433	284	435
508	433	282	436
507	432	284	437
508	431	284	438
508	432	280	438
508	431	281	437
508	428	283	439
508	427	279	440
508	432	278	435
511	439	273	429
511	439	274	428
513	436	271	431
513	433	270	433
513	439	272	427
513	454	271	413
512	471	268	395
514	453	268	412
514	469	266	398
513	498	269	369
516	508	268	358
514	511	269	353
514	516	268	348
514	516	267	349
513	519	269	346
513	520	265	344
513	520	266	345
513	519	266	345
514	518	266	348
514	517	266	347
513	515	267	350
514	512	267	352
512	509	271	356
514	505	271	361
